cdrRecordType,globalCallID_callManagerId,globalCallID_callId,origLegCallIdentifier,dateTimeOrigination,origNodeId,origSpan,origIpAddr,callingPartyNumber,callingPartyUnicodeLoginUserID,origCause_location,origCause_value,origPrecedenceLevel,origMediaTransportAddress_IP,origMediaTransportAddress_Port,origMediaCap_payloadCapability,origMediaCap_maxFramesPerPacket,origMediaCap_g723BitRate,origVideoCap_Codec,origVideoCap_Bandwidth,origVideoCap_Resolution,origVideoTransportAddress_IP,origVideoTransportAddress_Port,origRSVPAudioStat,origRSVPVideoStat,destLegIdentifier,destNodeId,destSpan,destIpAddr,originalCalledPartyNumber,finalCalledPartyNumber,finalCalledPartyUnicodeLoginUserID,destCause_location,destCause_value,destPrecedenceLevel,destMediaTransportAddress_IP,destMediaTransportAddress_Port,destMediaCap_payloadCapability,destMediaCap_maxFramesPerPacket,destMediaCap_g723BitRate,destVideoCap_Codec,destVideoCap_Bandwidth,destVideoCap_Resolution,destVideoTransportAddress_IP,destVideoTransportAddress_Port,destRSVPAudioStat,destRSVPVideoStat,dateTimeConnect,dateTimeDisconnect,lastRedirectDn,pkid,originalCalledPartyNumberPartition,callingPartyNumberPartition,finalCalledPartyNumberPartition,lastRedirectDnPartition,duration,origDeviceName,destDeviceName,origCallTerminationOnBehalfOf,destCallTerminationOnBehalfOf,origCalledPartyRedirectOnBehalfOf,lastRedirectRedirectOnBehalfOf,origCalledPartyRedirectReason,lastRedirectRedirectReason,destConversationId,globalCallId_ClusterID,joinOnBehalfOf,comment,authCodeDescription,authorizationLevel,clientMatterCode,origDTMFMethod,destDTMFMethod,callSecuredStatus,origConversationId,origMediaCap_Bandwidth,destMediaCap_Bandwidth,authorizationCodeValue,outpulsedCallingPartyNumber,outpulsedCalledPartyNumber,origIpv4v6Addr,destIpv4v6Addr,origVideoCap_Codec_Channel2,origVideoCap_Bandwidth_Channel2,origVideoCap_Resolution_Channel2,origVideoTransportAddress_IP_Channel2,origVideoTransportAddress_Port_Channel2,origVideoChannel_Role_Channel2,destVideoCap_Codec_Channel2,destVideoCap_Bandwidth_Channel2,destVideoCap_Resolution_Channel2,destVideoTransportAddress_IP_Channel2,destVideoTransportAddress_Port_Channel2,destVideoChannel_Role_Channel2,incomingProtocolID,incomingProtocolCallRef,outgoingProtocolID,outgoingProtocolCallRef,currentRoutingReason,origRoutingReason,lastRedirectingRoutingReason,huntPilotDN,huntPilotPartition,calledPartyPatternUsage,outpulsedOriginalCalledPartyNumber,outpulsedLastRedirectingNumber,wasCallQueued,totalWaitTimeInQueue,callingPartyNumber_uri,originalCalledPartyNumber_uri,finalCalledPartyNumber_uri,lastRedirectDn_uri,mobileCallingPartyNumber,finalMobileCalledPartyNumber,origMobileDeviceName,destMobileDeviceName,origMobileCallDuration,destMobileCallDuration,mobileCallType,originalCalledPartyPattern,finalCalledPartyPattern,lastRedirectingPartyPattern,huntPilotPattern
1,1,7449,20408420,1519865790,1,20408420,20253450,,\ ,0,0,4,20253450,27278,11,20,0,0,0,0,0,0,0,0,20408421,1,0,1781861130,3008,3008,\ ,0,16,4,1781861130,19544,11,20,0,0,0,0,0,0,0,0,1519865799,1519865914,3008,47eea0bd-1cce-4dcb-b1ec-b6e51a5a8a95,HK-PSTN,,HK-PSTN,HK-PSTN,115,10.11.53.1,SEP3C0E236D63D3,0,12,0,0,0,0,0,StandAloneCluster,0,,,0,,1,3,0,0,8,8,,,,10.11.53.1,10.11.53.106,0,0,0,0,0,0,0,0,0,0,0,0,2,38D31DD51C2211E8945600A38E818100,0,,0,0,0,,,2,,,0,0,,,,,,,,,0,0,0,3008,3008,3008,
1,1,7450,20408422,1519867130,1,0,1798638346,3088,\ ,0,16,4,1798638346,22236,11,20,0,0,0,0,0,0,0,0,20408423,1,20408423,20253450,931927518,931927518,\ ,0,0,4,20253450,27280,11,20,0,0,0,0,0,0,0,0,1519867142,1519867218,931927518,cf7508e6-a503-4c79-aa22-90329e6fafca,HK-PSTN,HK-PSTN,HK-PSTN,HK-PSTN,76,SEPDCA5F48777FC,10.11.53.1,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,1,0,0,8,8,,,,10.11.53.107,10.11.53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,80989080FE5471A9360B58010A0B356B,0,0,0,,,5,,,0,0,,,,,,,,,0,0,0,9.!,9.!,9.!,
1,1,7451,20408424,1519868384,1,0,1899301642,3030,\ ,0,16,4,1899301642,26298,4,20,0,0,0,0,0,0,0,0,20408425,1,0,104139530,5600,5600,\ ,0,0,4,104139530,20638,4,20,0,0,0,0,0,0,0,0,1519868384,1519868531,5600,8cb9889f-b23b-4841-a352-2b901ecb62eb,,HK-PSTN,,,147,SEP580A2098FEFE,Ovata-UM1-VI1,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,3,0,0,64,64,,,,10.11.53.113,10.11.53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,5600,,7,,,0,0,,,,,,,,,0,0,0,5600,5600,5600,5600
1,1,7456,20408435,1519869080,1,0,1815415562,3099,\ ,0,16,4,1815415562,30386,11,20,0,0,0,0,0,0,0,0,20408436,1,20408436,20253450,935083751,935083751,\ ,0,0,4,20253450,27290,11,20,0,0,0,0,0,0,0,0,1519869090,1519869453,935083751,ad441f8e-30f0-401d-ada1-bf18c1c8faea,HK-PSTN,HK-PSTN,HK-PSTN,HK-PSTN,363,SEP54781A1CF2FE,10.11.53.1,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,1,0,0,8,8,,,,10.11.53.108,10.11.53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0092730B9D5C71A93B0B5D010A0B356C,0,0,0,,,5,,,0,0,,,,,,,,,0,0,0,9.!,9.!,9.!,
1,1,7457,20408437,1519870266,1,20408437,20253450,68989181,\ ,0,0,4,20253450,27292,11,20,0,0,0,0,0,0,0,0,20408438,1,0,1899301642,3030,3030,\ ,0,16,4,1899301642,26692,11,20,0,0,0,0,0,0,0,0,1519870276,1519870988,3030,f6879059-9ab6-4150-afd2-6575197b986a,HK-PSTN,,HK-PSTN,HK-PSTN,712,10.11.53.1,SEP580A2098FEFE,0,12,0,0,0,0,0,StandAloneCluster,0,,,0,,1,3,0,0,8,8,,,,10.11.53.1,10.11.53.113,0,0,0,0,0,0,0,0,0,0,0,0,2,A4F02D651C2C11E8945D00A38E818100,0,,0,0,0,,,2,,,0,0,,,,,,,,,0,0,0,3030,3030,3030,
1,1,7458,20408440,1519871285,1,0,1899301642,3030,\ ,0,0,4,1899301642,20322,11,20,0,0,0,0,0,0,0,0,20408441,1,20408441,20253450,934674620,934674620,\ ,0,16,4,20253450,27294,11,20,0,0,0,0,0,0,0,0,1519871298,1519871938,934674620,ad4bc8ec-5f9d-4066-903f-0edaf6e0bce7,HK-PSTN,HK-PSTN,HK-PSTN,HK-PSTN,640,SEP580A2098FEFE,10.11.53.1,0,12,0,0,0,0,0,StandAloneCluster,0,,,0,,3,1,0,0,8,8,,,,10.11.53.113,10.11.53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0048232D396571A93C0B5E010A0B3571,0,0,0,,,5,,,0,0,,,,,,,,,0,0,0,9.!,9.!,9.!,
1,1,7461,20408449,1519872216,1,0,1798638346,3088,\ ,0,16,4,1798638346,29620,11,20,0,0,0,0,0,0,0,0,20408450,1,20408450,20253450,931927518,931927518,\ ,0,0,4,20253450,27298,11,20,0,0,0,0,0,0,0,0,1519872226,1519872276,931927518,eb4179a9-d97e-4985-8698-93177d484ef8,HK-PSTN,HK-PSTN,HK-PSTN,HK-PSTN,50,SEPDCA5F48777FC,10.11.53.1,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,1,0,0,8,8,,,,10.11.53.107,10.11.53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,809B0E58DC6871A93D0B5F010A0B356B,0,0,0,,,5,,,0,0,,,,,,,,,0,0,0,9.!,9.!,9.!,
1,1,7462,20408451,1519873044,1,0,1798638346,3088,\ ,0,16,4,1798638346,22930,11,20,0,0,0,0,0,0,0,0,20408452,1,20408452,20253450,931927518,931927518,\ ,0,0,4,20253450,27300,11,20,0,0,0,0,0,0,0,0,1519873056,1519873166,931927518,3b4b5766-040e-4a87-8de9-0ce9de316bf5,HK-PSTN,HK-PSTN,HK-PSTN,HK-PSTN,110,SEPDCA5F48777FC,10.11.53.1,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,1,0,0,8,8,,,,10.11.53.107,10.11.53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,80619545186C71A93E0B60010A0B356B,0,0,0,,,5,,,0,0,,,,,,,,,0,0,0,9.!,9.!,9.!,
1,1,7463,20408453,1519873466,1,20408453,20253450,22526499,\ ,0,0,4,20253450,27302,11,20,0,0,0,0,0,0,0,0,20408454,1,0,1765083914,3090,3090,\ ,0,16,4,1765083914,26040,11,20,0,0,0,0,0,0,0,0,1519873471,1519873579,3090,5e5b6a7c-7d08-4187-a002-2dc53bb22edd,HK-PSTN,,HK-PSTN,HK-PSTN,108,10.11.53.1,SEP54781A1CD57E,0,12,0,0,0,0,0,StandAloneCluster,0,,,0,,1,3,0,0,8,8,,,,10.11.53.1,10.11.53.105,0,0,0,0,0,0,0,0,0,0,0,0,2,181CD71A1C3411E8946100A38E818100,0,,0,0,0,,,2,,,0,0,,,,,,,,,0,0,0,3090,3090,3090,
1,1,7464,20408456,1519873577,1,0,1798638346,3088,\ ,0,16,4,1798638346,29570,11,20,0,0,0,0,0,0,0,0,20408457,1,20408457,20253450,931927518,931927518,\ ,0,0,4,20253450,27304,11,20,0,0,0,0,0,0,0,0,1519873588,1519873755,931927518,af6a336b-5025-4837-a6ac-959f117082de,HK-PSTN,HK-PSTN,HK-PSTN,HK-PSTN,167,SEPDCA5F48777FC,10.11.53.1,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,1,0,0,8,8,,,,10.11.53.107,10.11.53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,8050DF832E6E71A93F0B61010A0B356B,0,0,0,,,5,,,0,0,,,,,,,,,0,0,0,9.!,9.!,9.!,
